name,position,age,matches,goals,own_goals,assists,yellow_cards,red_cards,substituted_on,substituted_off,market_value
Raphael Varane,Centre-Back,25,17,0,0,0,0,0,1,2,80
Roberto Firmino,Second Striker,27,20,5,0,2,0,0,4,7,80
Jan Oblak,Goalkeeper,25,17,0,0,0,0,0,0,0,80
James Rodriguez,Attacking Midfield,27,13,4,0,4,2,0,4,8,80
Marc-Andre ter Stegen,Goalkeeper,26,18,0,0,0,1,0,0,0,80
 Christian Eriksen,Attacking Midfield,26,15,3,0,4,0,0,3,1,80
Sergio Busquets,Defensive Midfield,30,21,0,0,0,5,0,2,5,80
Robert Lewandowski,Centre-Forward,30,20,15,0,5,0,0,0,4,80
Toni Kroos,Central Midfield,28,19,2,0,3,2,0,0,2,80
Sergio Aguero,Centre-Forward,30,15,11,0,3,4,0,1,10,80
Pierre-Emerick Aubameyang,Centre-Forward,29,16,9,0,1,0,0,4,9,75
Thomas Lemar,Left Winger,23,17,1,0,2,2,0,5,8,70
Sadio Mane,Left Winger,26,16,7,0,1,1,0,0,5,70
Samuel Umtiti,Centre-Back,25,9,0,0,1,2,0,1,1,70
Marco Verratti,Central Midfield,26,15,0,0,1,4,0,1,9,70
Koke,Central Midfield,26,15,3,0,1,4,0,2,0,70
Jordi Alba,Left-Back,29,18,2,0,8,1,0,1,0,70
David de Gea,Goalkeeper,28,21,0,0,0,0,0,0,1,70
Marcelo,Left-Back,30,10,3,0,1,3,0,0,2,70
Luis Suarez,Centre-Forward,31,19,11,0,7,5,0,1,3,70
Miralem Pjanic,Central Midfield,28,20,3,0,2,3,0,0,13,70
Ivan Rakitic,Central Midfield,30,20,3,0,3,3,0,2,3,70
Casemiro,Defensive Midfield,26,21,1,0,0,1,0,2,7,70
Naby Keita,Central Midfield,23,11,0,0,0,1,0,5,4,65
Marcus Rashford,Centre-Forward,21,19,5,0,2,1,1,6,8,65
